feature_dim,lda_components,classifier,seed,accuracy,projection_sec,lda_fit_sec,lda_transform_train_sec,lda_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
512,99,sgd,0,0.4133,0.0,0.8131770829786547,0.02705183398211375,0.010299874993506819,1.5634574169525877,0.0032663330202922225,2.417877416999545
256,2,logistic,0,0.0822,0.11145679198671132,0.39164929202524945,0.014305999968200922,0.006566875032149255,2.7910024580196477,0.011407957994379103,3.329530375020113
256,2,sgd,0,0.0677,0.11145679198671132,0.4303431669832207,0.03264733403921127,0.006433625007048249,0.5708683750126511,0.0024703749804757535,1.1547133339918219
256,5,logistic,0,0.1668,0.11145679198671132,0.3611707500531338,0.01784683298319578,0.003233625029679388,3.08275166596286,0.005226083972956985,3.582334251026623
256,5,sgd,0,0.1218,0.11145679198671132,0.373644792009145,0.014426790992729366,0.004468249971978366,0.4480751670198515,0.0029103329870849848,0.9554095420171507
256,10,logistic,0,0.232,0.11145679198671132,0.34975412499625236,0.013597957964520901,0.003015417023561895,3.334602791001089,0.00522549997549504,3.817966417002026
256,10,sgd,0,0.1691,0.11145679198671132,0.37775970803340897,0.013846917019691318,0.003878624993376434,0.47909045801497996,0.002718291012570262,0.989064541994594
256,20,logistic,0,0.3213,0.11145679198671132,0.35118695796700194,0.013567292015068233,0.0029773330315947533,2.937182124995161,0.00442829099483788,3.421568250982091
256,20,sgd,0,0.2194,0.11145679198671132,0.3654175419942476,0.013663749967236072,0.003546916996128857,0.615183416986838,0.0024942500167526305,1.112072249990888
256,40,logistic,0,0.386,0.11145679198671132,0.3585883339983411,0.014787457999773324,0.003329541999846697,3.296907208976336,0.005487999995239079,3.7910609579994343
256,40,sgd,0,0.278,0.11145679198671132,0.36856441700365394,0.013760957983322442,0.0046499999589286745,0.7776655420311727,0.0030728750280104578,1.2794956259895116
256,80,logistic,0,0.4179,0.11145679198671132,0.368089834053535,0.014820833981502801,0.0029381660278886557,3.921095666999463,0.006957167002838105,4.4256838749861345
256,80,sgd,0,0.3888,0.11145679198671132,0.362547333992552,0.0140174999833107,0.00465708295814693,1.2791046670172364,0.003349666018038988,1.7754284169641323
256,99,logistic,0,0.4242,0.11145679198671132,0.3597718750243075,0.013416125031653792,0.004951791954226792,4.095466124999803,0.008787999977357686,4.594761791988276
256,99,sgd,0,0.4032,0.11145679198671132,0.3977569999988191,0.014075166953261942,0.005383665964473039,1.6176879580016248,0.0028982500080019236,2.1497786669642664
512,2,logistic,1,0.0846,0.0,0.8456500000320375,0.027716915996279567,0.007247917004860938,2.5316488330136053,0.006222500000149012,3.4193685830105096
512,2,sgd,1,0.0591,0.0,0.8676375839859247,0.02847633301280439,0.011451541038695723,0.48318745801225305,0.002202958974521607,1.3933926250319928
512,5,logistic,1,0.1652,0.0,0.7956711250008084,0.027417208009865135,0.006768708000890911,3.0574849999975413,0.005054541979916394,3.89272645895835
512,5,sgd,1,0.1267,0.0,0.8537130829645321,0.04481391701847315,0.009475291997659951,0.6090789579902776,0.0035224169841967523,1.5211993329576217
512,10,logistic,1,0.2411,0.0,0.8954512920463458,0.0318762919632718,0.008298125001601875,3.7137486670399085,0.011156207998283207,4.661420667020138
512,10,sgd,1,0.171,0.0,1.5287085830350406,0.04798045800998807,0.017963999998755753,0.7011885000392795,0.0037655000342056155,2.3011502500157803
512,20,logistic,1,0.3211,0.0,0.9864620409789495,0.03323633398395032,0.012028584023937583,3.4783008340164088,0.008950459014158696,4.521179208008107
512,20,sgd,1,0.2197,0.0,0.9988897920120507,0.03700504102744162,0.013739124988205731,0.6288867500261404,0.0028657500515691936,1.6823771249619313
512,40,logistic,1,0.395,0.0,0.8156261250260286,0.02955633297096938,0.005878375028260052,3.6833307499764487,0.013115499983541667,4.54992704099277
512,40,sgd,1,0.2641,0.0,1.034318833029829,0.06905041600111872,0.03760854201391339,0.9596487500239164,0.004020209016744047,2.1053622079780325
512,80,logistic,1,0.422,0.0,1.0115712079568766,0.03132429195102304,0.01276999997207895,4.049542291963007,0.009109125006943941,5.1161380839766935
512,80,sgd,1,0.4052,0.0,0.9734700000262819,0.028527165995910764,0.011882791994139552,1.4611087089870125,0.004592666984535754,2.4809052090276964
512,99,logistic,1,0.4263,0.0,0.9136041669989936,0.03326620900770649,0.012411875010002404,4.046598916989751,0.007804958033375442,5.014892250008415
512,99,sgd,1,0.4145,0.0,0.906177457945887,0.030066957988310605,0.011592666036449373,1.6207283330149949,0.00333558302372694,2.572634540963918
256,2,logistic,1,0.0822,0.1117632079985924,0.4726383749512024,0.013790917000733316,0.015592584037221968,2.3561587499571033,0.005141124944202602,2.975773124024272
256,2,sgd,1,0.059,0.1117632079985924,0.3733602909487672,0.013890207977965474,0.00375970802269876,0.48158925003372133,0.0027641250053420663,0.9874288329738192
256,5,logistic,1,0.1668,0.1117632079985924,0.36758904199814424,0.014133832999505103,0.0032740000169724226,3.089694915979635,0.008444208942819387,3.596489207993727
256,5,sgd,1,0.1276,0.1117632079985924,0.4109622089890763,0.013726291013881564,0.0053530409932136536,0.5963013329892419,0.0031662500114180148,1.1417883330141194
256,10,logistic,1,0.232,0.1117632079985924,0.37714570795651525,0.017877292004413903,0.0034133329754695296,3.396883167035412,0.007907958002761006,3.9165825829841197
256,10,sgd,1,0.1684,0.1117632079985924,0.381098874961026,0.021981333033181727,0.0071454590070061386,0.47655079199466854,0.0025241670082323253,1.0014197920099832
256,20,logistic,1,0.3213,0.1117632079985924,0.38004512496991083,0.014655541977845132,0.0036201250040903687,2.9358187920297496,0.005917000002227724,3.453818291949574
256,20,sgd,1,0.2197,0.1117632079985924,0.3777717089978978,0.015703666023910046,0.004006584000308067,0.6221847919514403,0.00251295801717788,1.13441962498473
