method,components,seed,accuracy,reduction_fit_sec,reduction_transform_train_sec,reduction_transform_test_sec,classifier_train_sec,evaluation_sec,total_runtime_sec
lda,20,1,0.3211,2.1148979589925148,0.6216069160145707,0.6229580829967745,5.1494834999903105,0.11280737502966076,8.621753833023831
lda,20,2,0.3211,1.75618820899399,0.2435599159798585,0.11797304102219641,6.502534041996114,0.45747720898361877,9.077732416975778
lda,20,3,0.3211,2.085166458040476,0.3242214589845389,0.1764644579961896,5.02122600004077,0.013872082985471934,7.620950458047446
lda,20,4,0.3211,1.7129097079741769,0.06672558299032971,0.01867762499023229,4.496116875030566,0.011290709022432566,6.305720500007737
lda,40,0,0.395,1.2555924160405993,0.08747066598152742,0.06574287498369813,6.077771707961801,0.27737045800313354,7.76394812297076
lda,40,1,0.395,2.1294098750222474,0.18944495799951255,0.1512601250433363,4.498127333004959,0.07449908298440278,7.042741374054458
lda,40,2,0.395,1.7970671250368468,3.7412520840298384,0.3949560829787515,3.9472554170060903,0.05429916700813919,9.934829876059666
lda,40,3,0.395,1.8148137090029195,0.26119683298747987,0.32547499996144325,3.4610779579961672,0.04679049999685958,5.909353999944869
lda,40,4,0.395,1.1072296659694985,0.041948749974835664,0.22452295804396272,3.421229208994191,0.015414084016811103,4.810344666999299
lda,80,0,0.422,1.3990183750283904,0.08886745903873816,0.034234958002343774,5.991094374970999,0.4045023750513792,7.91771754209185
lda,80,1,0.422,4.112897916988004,0.08727191697107628,0.614571874961257,5.153472832986154,0.022603249992243946,9.990817791898735
lda,80,2,0.422,1.2136231670156121,0.03990333300316706,1.2629019169835374,4.3761072919587605,0.010722625011112541,6.90325833397219
lda,80,3,0.422,0.9412478749873117,0.027249459002632648,0.012491083994973451,4.002490249986295,0.011242916982155293,4.994721584953368
lda,80,4,0.422,0.9084940830362029,0.027540666982531548,0.017919166013598442,4.0225130839971825,0.00789850001456216,4.984365500044078
lda,99,0,0.4263,1.0093567500007339,0.03650158300297335,0.014654333994258195,3.959947583032772,0.006495665991678834,5.026955916022416
lda,99,1,0.4263,1.1102012500050478,0.05775766703300178,0.01481533405603841,4.934341583051719,0.014092375000473112,6.13120820914628
lda,99,2,0.4263,1.447125332953874,0.08934866602066904,0.020435959042515606,5.3914016670314595,0.015039042045827955,6.963350667094346
lda,99,3,0.4263,1.168062957993243,0.05723679199581966,0.037615417037159204,5.691953999979887,0.03681583399884403,6.991685001004953
lda,99,4,0.4263,3.733492916042451,0.3788605839945376,0.2051888330024667,5.835939667013008,0.14795912499539554,10.301441125047859
pca,2,0,0.0505,1.237610958982259,0.04965445800917223,0.07759795797755942,6.230711375013925,0.02192945795832202,7.617504207941238
pca,2,1,0.0505,0.3777070000069216,0.015855667006690055,0.09927158401114866,8.440976999991108,0.026179792010225356,8.959991043026093
pca,2,2,0.0505,0.3350904579856433,0.026726917014457285,0.09112579200882465,7.227128917002119,0.06768966699019074,7.747761751001235
pca,2,3,0.0505,0.734021499985829,0.012419459002558142,0.03061133302981034,7.463005834026262,0.01326733297901228,8.253325459023472
pca,2,4,0.0505,0.4712613750016317,0.021608542010653764,0.013663125049788505,8.709488708002027,0.014061665977351367,9.230083416041452
pca,5,0,0.1338,0.5766440840088762,0.02436495799338445,0.014328207995276898,14.247145083034411,0.024630083004012704,14.887112416035961
pca,5,1,0.1338,0.27844458300387487,0.01933495799312368,0.014951249992009252,13.022194084012881,0.014559249975718558,13.349484124977607
pca,5,2,0.1338,0.23796295799547806,0.022030582942534238,0.04159450001316145,14.984790917020291,0.01979370799381286,15.306172665965278
pca,5,3,0.1338,0.38237079099053517,0.02312875003553927,0.04398508300073445,14.108784291020129,0.06185020797420293,14.62011912302114
pca,5,4,0.1338,0.5503105410025455,0.031593874969985336,0.05092641699593514,13.131890333024785,0.03570383304031566,13.800424999033567
pca,10,0,0.222,0.5727177920052782,0.03400320798391476,0.13351349998265505,16.831533666001633,0.06729008303955197,17.639058249013033
pca,10,1,0.222,0.7839595410041511,0.02360575000056997,0.1951350829913281,17.56455970800016,0.3380150419543497,18.90527512395056
pca,10,2,0.222,3.466340249986388,0.04361008299747482,0.5467963329865597,15.967212375020608,0.0543298750417307,20.07828891603276
pca,10,3,0.222,0.6286692499998026,0.045487916038837284,0.07608750002691522,17.956118166970555,0.03108687500935048,18.73744970804546
pca,10,4,0.222,0.47494670801097527,0.05083625001134351,0.3543179170228541,20.094613457971718,0.5022028749808669,21.476917207997758
pca,20,0,0.3097,14.075878750008997,0.05758091702591628,1.5517157500144094,8.68175687501207,0.0650375839904882,24.43196987605188
pca,20,1,0.3097,0.33909320802195,0.018665333976969123,0.12500791699858382,9.678273958037607,0.04749899997841567,10.208539417013526
pca,20,2,0.3097,1.0916382500436157,0.020186582987662405,0.15490850002970546,10.49718424997991,0.11376629100413993,11.877683874045033
pca,20,3,0.3097,1.1323558330186643,0.027160750003531575,0.09621204197173938,10.636895834002644,0.05224304198054597,11.944867500977125
