backbone,dataset,method,fraction,n_train_samples,seed,accuracy,dim,time_total
resnet50,cifar100,LDA,0.1,5000,456,63.04,99,2.96
resnet50,cifar100,DSB,0.1,5000,456,64.68,99,17.68
resnet50,cifar100,RDA,0.1,5000,456,64.09,129,7.65
resnet50,cifar100,Full,0.25,12500,42,70.13,2048,9.39
resnet50,cifar100,PCA,0.25,12500,42,63.31,99,8.72
resnet50,cifar100,LDA,0.25,12500,42,66.89,99,8.1
resnet50,cifar100,DSB,0.25,12500,42,66.8,99,28.13
resnet50,cifar100,RDA,0.25,12500,42,67.42,129,12.24
resnet50,cifar100,Full,0.25,12500,123,69.79,2048,9.38
resnet50,cifar100,PCA,0.25,12500,123,63.69,99,9.48
resnet50,cifar100,LDA,0.25,12500,123,66.74,99,8.17
resnet50,cifar100,DSB,0.25,12500,123,67.24,99,30.06
resnet50,cifar100,RDA,0.25,12500,123,66.79,129,11.96
resnet50,cifar100,Full,0.25,12500,456,70.23,2048,9.77
resnet50,cifar100,PCA,0.25,12500,456,63.77,99,8.32
resnet50,cifar100,LDA,0.25,12500,456,66.97,99,8.54
resnet50,cifar100,DSB,0.25,12500,456,66.82,99,28.4
resnet50,cifar100,RDA,0.25,12500,456,67.24,129,14.08
resnet50,cifar100,Full,0.5,25000,42,70.98,2048,15.57
resnet50,cifar100,PCA,0.5,25000,42,66.97,99,11.83
resnet50,cifar100,LDA,0.5,25000,42,69.33,99,14.11
resnet50,cifar100,DSB,0.5,25000,42,68.95,99,43.87
resnet50,cifar100,RDA,0.5,25000,42,69.22,129,27.83
resnet50,cifar100,Full,0.5,25000,123,71.62,2048,17.84
resnet50,cifar100,PCA,0.5,25000,123,66.83,99,14.0
resnet50,cifar100,LDA,0.5,25000,123,69.71,99,13.61
resnet50,cifar100,DSB,0.5,25000,123,69.72,99,39.51
resnet50,cifar100,RDA,0.5,25000,123,69.4,129,24.54
resnet50,cifar100,Full,0.5,25000,456,70.97,2048,16.29
resnet50,cifar100,PCA,0.5,25000,456,66.95,99,12.27
resnet50,cifar100,LDA,0.5,25000,456,69.2,99,13.48
resnet50,cifar100,DSB,0.5,25000,456,69.25,99,39.15
resnet50,cifar100,RDA,0.5,25000,456,69.03,129,28.52
resnet50,cifar100,Full,1.0,50000,42,71.98,2048,48.95
resnet50,cifar100,PCA,1.0,50000,42,69.25,99,17.51
resnet50,cifar100,LDA,1.0,50000,42,72.24,99,22.82
resnet50,cifar100,DSB,1.0,50000,42,72.63,99,62.18
resnet50,cifar100,RDA,1.0,50000,42,72.71,129,43.04
resnet50,cifar100,Full,1.0,50000,123,71.98,2048,48.26
resnet50,cifar100,PCA,1.0,50000,123,69.11,99,15.33
resnet50,cifar100,LDA,1.0,50000,123,72.24,99,24.16
resnet50,cifar100,DSB,1.0,50000,123,72.63,99,55.6
resnet50,cifar100,RDA,1.0,50000,123,72.59,129,44.89
resnet50,cifar100,Full,1.0,50000,456,71.98,2048,48.2
resnet50,cifar100,PCA,1.0,50000,456,69.04,99,17.65
resnet50,cifar100,LDA,1.0,50000,456,72.2,99,24.01
resnet50,cifar100,DSB,1.0,50000,456,72.64,99,60.96
resnet50,cifar100,RDA,1.0,50000,456,72.68,129,45.7
